messstelle_id,e32,e32num,n32,n32num,genau
10000008,3068xx,306850.0,56254xx,5625450.0,100
10000010,2935xx,293550.0,56452xx,5645250.0,100
10000021,312776,312776.0,5660432,5660432.0,1
10000033,3070xx,307050.0,56583xx,5658350.0,100
10000045,299399,299399.0,5650595,5650595.0,1
10000057,3041xx,304150.0,56531xx,5653150.0,100
10000069,306499,306499.0,5642943,5642943.0,1
10000070,316260,316260.0,5646208,5646208.0,1
10000082,295226,295226.0,5638883,5638883.0,1
10000094,292868,292868.0,5632572,5632572.0,1
10000100,321442,321442.0,5649089,5649089.0,1
10000112,290519,290519.0,5628437,5628437.0,1
10000124,323121,323121.0,5640684,5640684.0,1
10000136,305527,305527.0,5634205,5634205.0,1
10000148,317912,317912.0,5636632,5636632.0,1
10000150,300517,300517.0,5634278,5634278.0,1
10000161,331036,331036.0,5612061,5612061.0,1
10000173,328303,328303.0,5604342,5604342.0,1
10000185,3155xx,315550.0,55866xx,5586650.0,100
10000197,323745,323745.0,5631457,5631457.0,1
10099876,335749,335749.0,5619360,5619360.0,1
10099888,335744,335744.0,5619354,5619354.0,1
10099890,3383xx,338350.0,56108xx,5610850.0,100
10099906,3341xx,334150.0,56197xx,5619750.0,100
10099918,3341xx,334150.0,56197xx,5619750.0,100
10099920,3431xx,343150.0,56065xx,5606550.0,100
10099931,3430xx,343050.0,56065xx,5606550.0,100
10099943,3430xx,343050.0,56065xx,5606550.0,100
10099955,3269xx,326950.0,56218xx,5621850.0,100
10099967,3353xx,335350.0,56053xx,5605350.0,100
10099979,3346xx,334650.0,56042xx,5604250.0,100
10099980,3346xx,334650.0,56042xx,5604250.0,100
10099992,3205xx,320550.0,56294xx,5629450.0,100
10100003,3169xx,316950.0,55994xx,5599450.0,100
10100015,296653,296653.0,5647529,5647529.0,1
10100027,301956,301956.0,5643791,5643791.0,1
10100039,295440,295440.0,5629909,5629909.0,1
10100052,308522,308522.0,5637795,5637795.0,1
10131218,3331xx,333150.0,56152xx,5615250.0,100
10131310,3331xx,333150.0,56152xx,5615250.0,100
10132314,334240,334240.0,5618380,5618380.0,1
10132326,334240,334240.0,5618379,5618379.0,1
10133010,336883,336883.0,5613867,5613867.0,1
10133112,336882,336882.0,5613865,5613865.0,1
10133318,343605,343605.0,5613273,5613273.0,1
10133410,3436xx,343650.0,56133xx,5613350.0,100
10135017,347413,347413.0,5622676,5622676.0,1
10137210,345972,345972.0,5616869,5616869.0,1
10200022,325769,325769.0,5633941,5633941.0,1
10200058,294518,294518.0,5658674,5658674.0,1
10200060,310568,310568.0,5647260,5647260.0,1
10200071,310833,310833.0,5668978,5668978.0,1
10200095,300181,300181.0,5666487,5666487.0,1
10200101,289522,289522.0,5659888,5659888.0,1
10200113,313742,313742.0,5656128,5656128.0,1
10200137,312326,312326.0,5642398,5642398.0,1
10200149,327506,327506.0,5627889,5627889.0,1
10200150,289142,289142.0,5656701,5656701.0,1
10200162,301905,301905.0,5670714,5670714.0,1
10200186,324046,324046.0,5632600,5632600.0,1
10200198,325527,325527.0,5630919,5630919.0,1
10200230,312840,312840.0,5634775,5634775.0,1
10200265,287568,287568.0,5654923,5654923.0,1
10200277,320745,320745.0,5636397,5636397.0,1
10200307,318919,318919.0,5639234,5639234.0,1
10200332,292818,292818.0,5663839,5663839.0,1
10200356,315616,315616.0,5632515,5632515.0,1
